order_item_id,order_id,product_id,quantity,unit_price
OI000185,O07569,P005,1,87.63
OI000186,O00669,P034,1,409.57
OI000187,O01402,P011,3,288.91
OI000188,O02123,P048,2,148.8
OI000189,O00702,P003,1,118.59
OI000190,O07357,P026,1,72.75
OI000191,O04505,P033,1,148.91
OI000192,O04673,P032,3,332.9
OI000193,O01806,P032,2,332.9
OI000194,O04690,P001,3,434.87
OI000195,O03886,P048,2,148.8
OI000196,O02950,P017,3,129.35
OI000197,O02029,P043,1,168.2
OI000198,O05595,P010,3,256.1
OI000199,O06439,P026,3,72.75
OI000200,O01103,P024,3,46.67
OI000201,O03391,P011,2,288.91
OI000202,O03379,P036,2,175.07
OI000203,O05069,P048,2,148.8
OI000204,O05245,P028,3,195.09
OI000205,O03174,P032,1,332.9
OI000206,O00876,P012,3,77.76
OI000207,O06323,P004,1,32.68
OI000208,O06707,P050,3,134.82
OI000209,O02530,P039,2,463.69
OI000210,O07543,P047,2,57.61
OI000211,O00392,P037,2,33.11
OI000212,O02007,P050,3,134.82
OI000213,O04305,P023,1,48.88
OI000214,O01150,P015,2,171.09
OI000215,O03455,P005,2,87.63
OI000216,O01603,P006,1,150.34
OI000217,O05769,P048,3,148.8
OI000218,O01221,P046,1,434.05
OI000219,O07766,P031,1,338.07
OI000220,O07089,P006,2,150.34
OI000221,O04043,P040,3,49.2
OI000222,O02231,P029,3,236.35
OI000223,O06249,P044,2,459.43
OI000224,O00198,P007,2,367.49
OI000225,O06672,P049,1,487.24
OI000226,O07389,P038,2,452.1
OI000227,O02430,P005,3,87.63
OI000228,O05370,P042,1,412.79
OI000229,O04439,P003,1,118.59
OI000230,O03477,P002,1,108.31
OI000231,O02553,P017,1,129.35
OI000232,O04005,P020,2,314.35
OI000233,O07511,P016,1,181.07
OI000234,O03892,P005,2,87.63
OI000235,O01766,P008,3,250.99
OI000236,O04958,P007,3,367.49
OI000237,O01255,P004,2,32.68
OI000238,O05348,P036,2,175.07
OI000239,O01681,P031,2,338.07
OI000240,O04485,P041,2,27.35
OI000241,O02414,P012,1,77.76
OI000242,O04704,P016,2,181.07
OI000243,O01651,P035,3,460.91
OI000244,O01159,P020,2,314.35
OI000245,O00225,P022,2,106.63
OI000246,O03753,P034,2,409.57
OI000247,O04672,P015,1,171.09
OI000248,O00820,P036,2,175.07
OI000249,O06817,P036,2,175.07
OI000250,O05390,P015,1,171.09
OI000251,O07830,P026,1,72.75
OI000252,O04754,P047,3,57.61
OI000253,O03732,P011,1,288.91
OI000254,O00320,P050,3,134.82
OI000255,O00335,P030,2,307.18
OI000256,O01317,P010,3,256.1
OI000257,O04054,P039,1,463.69
OI000258,O07038,P021,1,138.44
OI000259,O00070,P038,1,452.1
OI000260,O01518,P001,3,434.87
OI000261,O02705,P047,2,57.61
OI000262,O05052,P044,2,459.43
OI000263,O02653,P026,1,72.75
OI000264,O04515,P023,2,48.88
OI000265,O07892,P018,2,411.57
OI000266,O06018,P029,2,236.35
OI000267,O00220,P038,3,452.1
OI000268,O00078,P037,3,33.11
OI000269,O01353,P031,2,338.07
OI000270,O06037,P007,2,367.49
OI000271,O03619,P041,1,27.35
OI000272,O05008,P029,2,236.35
OI000273,O06292,P010,1,256.1
OI000274,O06215,P024,1,46.67
OI000275,O05289,P022,1,106.63
OI000276,O04097,P009,1,385.0
OI000277,O01854,P037,3,33.11
OI000278,O00055,P045,2,127.95
OI000279,O01223,P042,2,412.79
OI000280,O02183,P038,1,452.1
OI000281,O04884,P007,2,367.49
OI000282,O04570,P007,1,367.49
OI000283,O05690,P010,3,256.1
OI000284,O04907,P046,3,434.05
OI000285,O00429,P004,1,32.68
OI000286,O03501,P016,1,181.07
OI000287,O04085,P047,2,57.61
OI000288,O00908,P043,1,168.2
OI000289,O04113,P014,3,385.11
OI000290,O01234,P003,2,118.59
OI000291,O07420,P044,1,459.43
OI000292,O07301,P024,3,46.67
OI000293,O04199,P037,1,33.11
OI000294,O01829,P035,1,460.91
OI000295,O05043,P012,2,77.76
OI000296,O03693,P023,3,48.88
OI000297,O00987,P021,3,138.44
OI000298,O05452,P024,1,46.67
OI000299,O04412,P045,1,127.95
OI000300,O06060,P022,1,106.63
OI000301,O05379,P046,2,434.05
OI000302,O06406,P042,1,412.79
OI000303,O04905,P046,1,434.05
OI000304,O01005,P009,3,385.0
OI000305,O00341,P048,3,148.8
OI000306,O07624,P010,3,256.1
OI000307,O01012,P027,3,289.15
OI000308,O07275,P032,1,332.9
OI000309,O06143,P042,2,412.79
OI000310,O02267,P013,2,393.87
OI000311,O07796,P020,1,314.35
OI000312,O05904,P021,1,138.44
OI000313,O00404,P040,3,49.2
OI000314,O00399,P041,3,27.35
OI000315,O05385,P028,1,195.09
OI000316,O04666,P018,2,411.57
OI000317,O01048,P032,3,332.9
OI000318,O07848,P031,2,338.07
OI000319,O00788,P041,1,27.35
OI000320,O07118,P021,3,138.44
OI000321,O03835,P029,1,236.35
OI000322,O03518,P025,2,113.89
OI000323,O07444,P033,2,148.91
OI000324,O04536,P017,3,129.35
OI000325,O06195,P030,1,307.18
OI000326,O00838,P026,1,72.75
OI000327,O07503,P027,3,289.15
OI000328,O06212,P029,2,236.35
OI000329,O04153,P005,2,87.63
OI000330,O06980,P035,2,460.91
OI000331,O07155,P015,2,171.09
OI000332,O07142,P044,1,459.43
OI000333,O05224,P043,2,168.2
OI000334,O06238,P037,2,33.11
OI000335,O00891,P014,3,385.11
OI000336,O06047,P015,3,171.09
OI000337,O02940,P021,2,138.44
OI000338,O01499,P034,3,409.57
OI000339,O06844,P040,3,49.2
OI000340,O01846,P040,2,49.2
OI000341,O03639,P019,3,379.83
OI000342,O00970,P008,1,250.99
OI000343,O00877,P028,2,195.09
OI000344,O04337,P002,3,108.31
OI000345,O03903,P030,3,307.18
OI000346,O03461,P033,3,148.91
OI000347,O02693,P016,1,181.07
OI000348,O06289,P039,1,463.69
OI000349,O01356,P021,3,138.44
OI000350,O01629,P033,3,148.91
OI000351,O06459,P015,2,171.09
OI000352,O04178,P036,2,175.07
OI000353,O01224,P017,1,129.35
OI000354,O06853,P033,2,148.91
OI000355,O02205,P027,2,289.15
OI000356,O06041,P017,1,129.35
OI000357,O03824,P010,2,256.1
OI000358,O06374,P044,1,459.43
OI000359,O04952,P036,2,175.07
OI000360,O01127,P046,3,434.05
OI000361,O06466,P010,1,256.1
OI000362,O07904,P009,1,385.0
OI000363,O00474,P011,1,288.91
OI000364,O06573,P017,3,129.35
OI000365,O04915,P025,1,113.89
OI000366,O01456,P019,3,379.83
OI000367,O05403,P026,1,72.75
OI000368,O05571,P042,2,412.79
OI000369,O01600,P030,3,307.18
OI000370,O02287,P049,1,487.24
OI000371,O06796,P040,2,49.2
OI000372,O04035,P029,3,236.35
OI000373,O02501,P040,2,49.2
OI000374,O02838,P023,3,48.88
OI000375,O05608,P044,3,459.43
OI000376,O00810,P041,3,27.35
OI000377,O00255,P046,3,434.05
OI000378,O01003,P036,1,175.07
OI000379,O02479,P023,3,48.88
OI000380,O02975,P030,2,307.18
OI000381,O01936,P020,3,314.35
OI000382,O00218,P010,1,256.1
OI000383,O05664,P023,3,48.88
OI000384,O05113,P011,2,288.91
OI000385,O05085,P022,3,106.63
OI000386,O05662,P039,2,463.69
OI000387,O06202,P010,2,256.1
OI000388,O06238,P013,1,393.87
OI000389,O04544,P030,1,307.18
OI000390,O06175,P017,3,129.35
OI000391,O04840,P043,2,168.2
OI000392,O01920,P001,3,434.87
OI000393,O06908,P016,1,181.07
OI000394,O00354,P004,2,32.68
OI000395,O03287,P010,3,256.1
OI000396,O00502,P015,1,171.09
OI000397,O00831,P050,2,134.82
OI000398,O04350,P010,1,256.1
OI000399,O06479,P019,1,379.83
OI000400,O02467,P006,1,150.34
OI000401,O07197,P034,3,409.57
OI000402,O00860,P034,1,409.57
OI000403,O02283,P016,3,181.07
OI000404,O07015,P009,3,385.0
OI000405,O03763,P022,3,106.63
OI000406,O01318,P043,1,168.2
OI000407,O07664,P012,3,77.76
OI000408,O07121,P044,3,459.43
OI000409,O01334,P046,2,434.05
OI000410,O04525,P022,1,106.63
OI000411,O04859,P033,1,148.91
OI000412,O05660,P043,1,168.2
OI000413,O02708,P040,3,49.2
OI000414,O03151,P005,1,87.63
OI000415,O04116,P041,2,27.35
OI000416,O06826,P002,2,108.31
OI000417,O03826,P030,2,307.18
OI000418,O06126,P024,2,46.67
OI000419,O01657,P031,1,338.07
OI000420,O00665,P041,3,27.35
OI000421,O03164,P046,1,434.05
OI000422,O04923,P039,3,463.69
OI000423,O00884,P038,3,452.1
OI000424,O02151,P012,1,77.76
OI000425,O06142,P021,3,138.44
OI000426,O03185,P040,3,49.2
OI000427,O07776,P033,3,148.91
OI000428,O03296,P047,2,57.61
OI000429,O02313,P018,1,411.57
OI000430,O04876,P008,2,250.99
OI000431,O04625,P013,3,393.87
OI000432,O03598,P050,3,134.82
OI000433,O00445,P037,1,33.11
OI000434,O07029,P009,3,385.0
OI000435,O00291,P014,1,385.11
OI000436,O07219,P047,3,57.61
OI000437,O03800,P034,1,409.57
OI000438,O03711,P024,3,46.67
OI000439,O07881,P048,2,148.8
OI000440,O05442,P047,1,57.61
OI000441,O01574,P023,1,48.88
OI000442,O06225,P001,2,434.87
OI000443,O04776,P025,1,113.89
OI000444,O03673,P047,1,57.61
OI000445,O07469,P046,3,434.05
OI000446,O07358,P045,3,127.95
OI000447,O05324,P007,3,367.49
OI000448,O00066,P004,1,32.68
OI000449,O05572,P011,3,288.91
OI000450,O01569,P033,2,148.91
OI000451,O06617,P037,2,33.11
OI000452,O02275,P029,2,236.35
OI000453,O02629,P031,3,338.07
OI000454,O01597,P038,1,452.1
OI000455,O06450,P037,1,33.11
OI000456,O00966,P012,3,77.76
OI000457,O04857,P009,1,385.0
OI000458,O06375,P038,2,452.1
OI000459,O07400,P041,1,27.35
OI000460,O07146,P021,2,138.44
OI000461,O03541,P045,3,127.95
OI000462,O01780,P028,3,195.09
OI000463,O03103,P025,1,113.89
OI000464,O00191,P011,1,288.91
OI000465,O05297,P034,1,409.57
OI000466,O00643,P015,2,171.09
OI000467,O03419,P029,2,236.35
OI000468,O01106,P018,1,411.57
OI000469,O02552,P040,3,49.2
OI000470,O01428,P030,3,307.18
OI000471,O03989,P018,1,411.57
OI000472,O02413,P003,1,118.59
OI000473,O04599,P009,2,385.0
OI000474,O07128,P031,1,338.07
OI000475,O04049,P015,2,171.09
OI000476,O05903,P040,1,49.2
OI000477,O01783,P004,2,32.68
OI000478,O00065,P002,1,108.31
OI000479,O00045,P008,3,250.99
OI000480,O07988,P028,2,195.09
OI000481,O05378,P008,2,250.99
OI000482,O02433,P024,2,46.67
OI000483,O05022,P033,1,148.91
OI000484,O02977,P022,2,106.63
OI000485,O01799,P001,1,434.87
OI000486,O01145,P030,1,307.18
OI000487,O01354,P048,2,148.8
OI000488,O00083,P049,2,487.24
OI000489,O02039,P038,1,452.1
OI000490,O00225,P039,1,463.69
OI000491,O03668,P042,3,412.79
OI000492,O06050,P024,3,46.67
OI000493,O03454,P027,3,289.15
OI000494,O06853,P018,2,411.57
OI000495,O04525,P032,3,332.9
OI000496,O00917,P050,2,134.82
OI000497,O03438,P037,1,33.11
OI000498,O04401,P046,1,434.05
OI000499,O01850,P014,1,385.11
OI000500,O07542,P031,2,338.07
OI000501,O01134,P015,2,171.09
OI000502,O06851,P047,1,57.61
OI000503,O07994,P050,1,134.82
OI000504,O04691,P047,1,57.61
OI000505,O02070,P048,3,148.8
OI000506,O01265,P016,3,181.07
OI000507,O00260,P033,1,148.91
OI000508,O03382,P010,2,256.1
OI000509,O02246,P023,1,48.88
OI000510,O03202,P028,3,195.09
OI000511,O01509,P008,2,250.99
OI000512,O02492,P047,1,57.61
OI000513,O06042,P015,3,171.09
OI000514,O05743,P001,2,434.87
OI000515,O00059,P027,1,289.15
OI000516,O03639,P047,1,57.61
OI000517,O02314,P034,2,409.57
OI000518,O07989,P033,1,148.91
OI000519,O06728,P042,3,412.79
OI000520,O07836,P031,2,338.07
OI000521,O02026,P009,1,385.0
OI000522,O06292,P042,3,412.79
OI000523,O01067,P023,2,48.88
OI000524,O00672,P007,1,367.49
OI000525,O03062,P029,1,236.35
OI000526,O04138,P042,1,412.79
OI000527,O00880,P024,3,46.67
OI000528,O02796,P035,2,460.91
OI000529,O05548,P010,2,256.1
OI000530,O04632,P021,2,138.44
OI000531,O01798,P006,2,150.34
OI000532,O02849,P030,1,307.18
OI000533,O06645,P036,3,175.07
OI000534,O04948,P023,3,48.88
OI000535,O01206,P029,2,236.35
OI000536,O02904,P044,1,459.43
OI000537,O03702,P031,3,338.07
OI000538,O05533,P044,3,459.43
OI000539,O05076,P024,2,46.67
OI000540,O06941,P038,2,452.1
OI000541,O00958,P034,3,409.57
OI000542,O07396,P002,2,108.31
OI000543,O04878,P010,3,256.1
OI000544,O01080,P024,1,46.67
OI000545,O05812,P045,2,127.95
OI000546,O01084,P012,2,77.76
OI000547,O01334,P017,3,129.35
OI000548,O03771,P017,1,129.35
OI000549,O00880,P049,3,487.24
OI000550,O02340,P007,3,367.49
OI000551,O04688,P013,1,393.87
OI000552,O02774,P014,3,385.11
OI000553,O06076,P014,1,385.11
OI000554,O04524,P006,3,150.34
OI000555,O04500,P030,1,307.18
OI000556,O04488,P008,2,250.99
OI000557,O03762,P040,3,49.2
OI000558,O01770,P025,3,113.89
OI000559,O07705,P048,2,148.8
OI000560,O04313,P041,1,27.35
OI000561,O06347,P041,2,27.35
OI000562,O01264,P042,1,412.79
OI000563,O02367,P015,1,171.09
OI000564,O04367,P001,1,434.87
OI000565,O06891,P035,1,460.91
OI000566,O01550,P035,1,460.91
OI000567,O05496,P004,1,32.68
OI000568,O05841,P045,2,127.95
OI000569,O01924,P014,3,385.11
OI000570,O02219,P006,2,150.34
OI000571,O00476,P031,2,338.07
OI000572,O03570,P006,1,150.34
OI000573,O04755,P024,1,46.67
OI000574,O04730,P007,1,367.49
OI000575,O05052,P030,1,307.18
OI000576,O06546,P016,3,181.07
OI000577,O00420,P024,3,46.67
OI000578,O00169,P026,1,72.75
OI000579,O02568,P021,3,138.44
OI000580,O02006,P014,2,385.11
OI000581,O07580,P046,1,434.05
OI000582,O05655,P047,1,57.61
OI000583,O00559,P017,1,129.35
OI000584,O05990,P039,2,463.69
OI000585,O04485,P008,3,250.99
OI000586,O03064,P021,2,138.44
OI000587,O03996,P008,3,250.99
OI000588,O07383,P011,3,288.91
OI000589,O05404,P034,2,409.57
OI000590,O01895,P035,3,460.91
OI000591,O00275,P011,3,288.91
OI000592,O03657,P008,3,250.99
OI000593,O00790,P001,1,434.87
OI000594,O06490,P048,3,148.8
OI000595,O00325,P013,2,393.87
OI000596,O04819,P040,2,49.2
OI000597,O07778,P035,2,460.91
OI000598,O05472,P032,1,332.9
OI000599,O01182,P033,1,148.91
OI000600,O07043,P001,3,434.87
OI000601,O02933,P025,3,113.89
OI000602,O05310,P024,3,46.67
OI000603,O05905,P014,3,385.11
OI000604,O00497,P004,2,32.68
OI000605,O07737,P028,1,195.09
OI000606,O04800,P007,3,367.49
OI000607,O07318,P026,2,72.75
OI000608,O00811,P009,1,385.0
OI000609,O05548,P002,3,108.31
OI000610,O01934,P012,3,77.76
OI000611,O03034,P014,3,385.11
OI000612,O01627,P014,1,385.11
OI000613,O07880,P015,1,171.09
OI000614,O05196,P007,1,367.49
OI000615,O05483,P011,3,288.91
OI000616,O00007,P046,1,434.05
OI000617,O06211,P010,1,256.1
OI000618,O07832,P001,2,434.87
OI000619,O07727,P049,3,487.24
OI000620,O01725,P049,3,487.24
OI000621,O05241,P042,2,412.79
OI000622,O06257,P037,1,33.11
OI000623,O00449,P043,3,168.2
OI000624,O02294,P004,2,32.68
OI000625,O01341,P027,2,289.15
OI000626,O06354,P032,2,332.9
OI000627,O06523,P038,1,452.1
OI000628,O05599,P040,1,49.2
OI000629,O02459,P033,1,148.91
OI000630,O01032,P006,2,150.34
OI000631,O00609,P029,1,236.35
OI000632,O03126,P001,3,434.87
OI000633,O02544,P012,1,77.76
OI000634,O03485,P039,3,463.69
OI000635,O00303,P039,2,463.69
OI000636,O06526,P002,1,108.31
OI000637,O06977,P003,2,118.59
OI000638,O06581,P036,1,175.07
OI000639,O04660,P018,1,411.57
OI000640,O02263,P015,2,171.09
OI000641,O01145,P026,1,72.75
OI000642,O04476,P026,1,72.75
OI000643,O05819,P002,2,108.31
OI000644,O01462,P025,2,113.89
OI000645,O02501,P017,2,129.35
OI000646,O06915,P043,2,168.2
OI000647,O04554,P040,1,49.2
OI000648,O06967,P033,3,148.91
OI000649,O07235,P013,2,393.87
OI000650,O06564,P002,1,108.31
OI000651,O00264,P030,3,307.18
OI000652,O00914,P034,2,409.57
OI000653,O06188,P016,2,181.07
OI000654,O02034,P014,1,385.11
OI000655,O04818,P041,3,27.35
OI000656,O07745,P021,1,138.44
OI000657,O01449,P023,2,48.88
OI000658,O06206,P017,3,129.35
OI000659,O02422,P031,1,338.07
OI000660,O02916,P001,3,434.87
OI000661,O02836,P030,3,307.18
OI000662,O04560,P018,3,411.57
OI000663,O03871,P032,2,332.9
OI000664,O00864,P030,2,307.18
OI000665,O00166,P031,3,338.07
OI000666,O07685,P047,2,57.61
OI000667,O05551,P015,2,171.09
OI000668,O00179,P027,2,289.15
OI000669,O02311,P039,2,463.69
OI000670,O05272,P049,3,487.24
OI000671,O01618,P006,2,150.34
OI000672,O07276,P014,2,385.11
OI000673,O00796,P029,3,236.35
OI000674,O04733,P002,3,108.31
OI000675,O03301,P016,2,181.07
OI000676,O05942,P002,1,108.31
OI000677,O07256,P030,2,307.18
OI000678,O00352,P017,1,129.35
OI000679,O02038,P029,3,236.35
OI000680,O06029,P038,2,452.1
OI000681,O05093,P001,1,434.87
OI000682,O02992,P038,3,452.1
OI000683,O00632,P030,1,307.18
OI000684,O04740,P025,1,113.89
OI000685,O07187,P036,2,175.07
OI000686,O05404,P037,2,33.11
OI000687,O00958,P004,1,32.68
OI000688,O00093,P023,2,48.88
OI000689,O02813,P031,3,338.07
OI000690,O01164,P036,3,175.07
OI000691,O02982,P004,3,32.68
OI000692,O00254,P041,1,27.35
OI000693,O05505,P008,3,250.99
OI000694,O04694,P008,1,250.99
OI000695,O03658,P015,2,171.09
OI000696,O00805,P030,1,307.18
OI000697,O05021,P022,1,106.63
OI000698,O05384,P045,1,127.95
OI000699,O02418,P043,3,168.2
OI000700,O07137,P031,3,338.07
OI000701,O06117,P007,3,367.49
OI000702,O00975,P018,3,411.57
OI000703,O04322,P044,3,459.43
OI000704,O07607,P026,3,72.75
OI000705,O01088,P050,2,134.82
OI000706,O05953,P036,3,175.07
OI000707,O00218,P021,2,138.44
OI000708,O03500,P038,1,452.1
OI000709,O06489,P008,2,250.99
OI000710,O02281,P011,2,288.91
OI000711,O00982,P018,1,411.57
OI000712,O07836,P037,1,33.11
OI000713,O05994,P018,3,411.57
OI000714,O06264,P047,3,57.61
OI000715,O06718,P008,2,250.99
OI000716,O02285,P020,1,314.35
OI000717,O07251,P044,2,459.43
OI000718,O06584,P048,2,148.8
OI000719,O05322,P023,3,48.88
OI000720,O04853,P027,3,289.15
OI000721,O02008,P011,2,288.91
OI000722,O02253,P028,3,195.09
OI000723,O03994,P039,2,463.69
OI000724,O00988,P032,1,332.9
OI000725,O04893,P026,2,72.75
OI000726,O05761,P045,2,127.95
OI000727,O02219,P038,2,452.1
OI000728,O06644,P006,1,150.34
OI000729,O01545,P024,1,46.67
OI000730,O03270,P013,2,393.87
OI000731,O04345,P036,3,175.07
OI000732,O04010,P031,2,338.07
OI000733,O04024,P004,1,32.68
OI000734,O06846,P021,3,138.44
OI000735,O00507,P004,2,32.68
OI000736,O00452,P013,2,393.87
OI000737,O00999,P030,3,307.18
OI000738,O04025,P029,2,236.35
OI000739,O07351,P048,3,148.8
OI000740,O03620,P013,3,393.87
OI000741,O06950,P011,1,288.91
OI000742,O04502,P044,3,459.43
OI000743,O05839,P009,1,385.0
OI000744,O07752,P009,1,385.0
OI000745,O04354,P002,1,108.31
OI000746,O07350,P026,3,72.75
OI000747,O07566,P046,2,434.05
OI000748,O04307,P009,2,385.0
OI000749,O07007,P019,2,379.83
OI000750,O07982,P041,1,27.35
OI000751,O02727,P039,2,463.69
OI000752,O01542,P046,3,434.05
OI000753,O01187,P037,1,33.11
OI000754,O03197,P008,3,250.99
OI000755,O00401,P022,2,106.63
OI000756,O03145,P009,1,385.0
OI000757,O01841,P020,2,314.35
OI000758,O06885,P044,1,459.43
OI000759,O05298,P023,1,48.88
OI000760,O04709,P019,1,379.83
OI000761,O02365,P028,1,195.09
OI000762,O02268,P003,1,118.59
OI000763,O03005,P007,3,367.49
OI000764,O03034,P045,3,127.95
OI000765,O05891,P002,2,108.31
OI000766,O02221,P004,2,32.68
OI000767,O01742,P019,2,379.83
OI000768,O05186,P005,2,87.63
OI000769,O02745,P018,1,411.57
OI000770,O00228,P029,3,236.35
OI000771,O02057,P014,3,385.11
OI000772,O05532,P027,1,289.15
OI000773,O06568,P022,2,106.63
OI000774,O05930,P039,2,463.69
